Row (Letter),Number,"Section (Left, Middle, or Right)",Lefty (0 or 1),Aisle (0 or 1),Front Row (0 or 1)
A,2,M,0,1,1
A,3,M,0,0,1
A,4,M,0,0,1
A,5,M,0,0,1
A,6,M,0,0,1
A,7,M,0,0,1
A,8,M,0,0,1
A,9,M,0,0,1
A,10,M,0,0,1
A,11,M,0,0,1
A,12,M,0,0,1
A,13,M,0,0,1
B,1,M,0,1,1
B,2,M,0,0,1
B,3,M,0,0,1
B,4,M,0,0,0
B,5,M,0,0,0
B,6,M,0,0,0
B,7,M,0,0,0
B,8,M,0,0,0
B,9,M,0,0,0
B,10,M,0,0,0
B,11,M,0,0,0
B,12,M,0,0,0
B,13,M,0,0,0
B,14,M,0,0,0
B,15,M,0,0,0
B,16,M,0,0,0
B,17,M,0,0,1
B,18,M,0,0,1
C,1,M,0,1,0
C,2,M,0,0,0
C,3,M,0,0,0
C,4,M,0,0,0
C,5,M,0,0,0
C,6,M,0,0,0
C,7,M,0,0,0
C,8,M,0,0,0
C,9,M,0,0,0
C,10,M,0,0,0
C,11,M,0,0,0
C,12,M,0,0,0
C,13,M,0,0,0
C,14,M,0,0,0
C,15,M,0,0,0
C,16,M,0,0,0
C,17,M,0,0,0
C,18,M,1,1,0
D,1,M,0,1,0
D,2,M,0,0,0
D,3,M,0,0,0
D,4,M,0,0,0
D,5,M,0,0,0
D,6,M,0,0,0
D,7,M,0,0,0
D,8,M,0,0,0
D,9,M,0,0,0
D,10,M,0,0,0
D,11,M,0,0,0
D,12,M,0,0,0
D,13,M,0,0,0
D,14,M,0,0,0
D,15,M,0,0,0
D,16,M,0,0,0
D,17,M,0,0,0
D,18,M,0,0,0
D,19,M,1,1,0
E,1,M,0,1,0
E,2,M,0,0,0
E,3,M,0,0,0
E,4,M,0,0,0
E,5,M,0,0,0
E,6,M,0,0,0
E,7,M,0,0,0
E,8,M,0,0,0
E,9,M,0,0,0
E,10,M,0,0,0
E,11,M,0,0,0
E,12,M,0,0,0
E,13,M,0,0,0
E,14,M,0,0,0
E,15,M,0,0,0
E,16,M,0,0,0
E,17,M,0,0,0
E,18,M,1,1,0
F,1,M,0,1,0
F,2,M,0,0,0
F,3,M,0,0,0
F,4,M,0,0,0
F,5,M,0,0,0
F,6,M,0,0,0
F,7,M,0,0,0
F,8,M,0,0,0
F,9,M,0,0,0
F,10,M,0,0,0
F,11,M,0,0,0
F,12,M,0,0,0
F,13,M,0,0,0
F,14,M,0,0,0
F,15,M,0,0,0
F,16,M,0,0,0
F,17,M,0,0,0
F,18,M,0,0,0
F,19,M,1,1,0
G,1,M,0,1,0
G,2,M,0,0,0
G,3,M,0,0,0
G,4,M,0,0,0
G,5,M,0,0,0
G,6,M,0,0,0
G,7,M,0,0,0
G,8,M,0,0,0
G,9,M,0,0,0
G,10,M,0,0,0
G,11,M,0,0,0
G,12,M,0,0,0
G,13,M,0,0,0
G,14,M,0,0,0
G,15,M,0,0,0
G,16,M,0,0,0
G,17,M,0,0,0
G,18,M,1,1,0
H,1,M,0,1,0
H,2,M,0,0,0
H,3,M,0,0,0
H,4,M,0,0,0
H,5,M,0,0,0
H,6,M,0,0,0
H,7,M,0,0,0
H,8,M,0,0,0
H,9,M,0,0,0
H,10,M,0,0,0
H,11,M,0,0,0
H,12,M,0,0,0
H,13,M,0,0,0
H,14,M,0,0,0
H,15,M,0,0,0
H,16,M,0,0,0
H,17,M,0,0,0
H,18,M,0,0,0
H,19,M,1,1,0
J,1,M,0,1,0
J,2,M,0,0,0
J,3,M,0,0,0
J,4,M,0,0,0
J,5,M,0,0,0
J,6,M,0,0,0
J,7,M,0,0,0
J,8,M,0,0,0
J,9,M,0,0,0
J,10,M,0,0,0
J,11,M,0,0,0
J,12,M,0,0,0
J,13,M,0,0,0
J,14,M,0,0,0
J,15,M,0,0,0
J,16,M,0,0,0
J,17,M,0,0,0
J,18,M,1,1,0
K,1,M,0,1,0
K,2,M,0,0,0
K,3,M,0,0,0
K,4,M,0,0,0
K,5,M,0,0,0
K,6,M,0,0,0
K,7,M,0,0,0
K,8,M,0,0,0
K,9,M,0,0,0
K,10,M,0,0,0
K,11,M,0,0,0
K,12,M,0,0,0
K,13,M,0,0,0
K,14,M,0,0,0
K,15,M,0,0,0
K,16,M,0,0,0
K,17,M,0,0,0
K,18,M,0,0,0
K,19,M,1,1,0
L,1,M,0,1,0
L,2,M,0,0,0
L,3,M,0,0,0
L,4,M,0,0,0
L,5,M,0,0,0
L,6,M,0,0,0
L,7,M,0,0,0
L,8,M,0,0,0
L,9,M,0,0,0
L,10,M,0,0,0
L,11,M,0,0,0
L,12,M,0,0,0
L,13,M,0,0,0
L,14,M,0,0,0
L,15,M,0,0,0
L,16,M,0,0,0
L,17,M,0,0,0
L,18,M,1,1,0
M,1,M,0,1,0
M,2,M,0,0,0
M,3,M,0,0,0
M,4,M,0,0,0
M,5,M,0,0,0
M,6,M,0,0,0
M,7,M,0,0,0
M,8,M,0,0,0
M,9,M,0,0,0
M,10,M,0,0,0
M,11,M,0,0,0
M,12,M,0,0,0
M,13,M,0,0,0
M,14,M,0,0,0
M,15,M,0,0,0
M,16,M,0,0,0
M,17,M,0,0,0
M,18,M,0,0,0
M,19,M,1,1,0
N,2,M,0,1,0
N,3,M,0,0,0
N,4,M,0,0,0
N,5,M,0,0,0
N,6,M,0,0,0
N,7,M,0,0,0
N,8,M,0,0,0
N,9,M,0,0,0
N,10,M,0,0,0
N,11,M,0,0,0
N,12,M,0,0,0
N,13,M,0,0,0
N,14,M,0,0,0
N,15,M,0,0,0
N,16,M,0,0,0
O,1,M,0,1,0
O,2,M,0,1,0
O,3,M,0,1,0
O,4,M,0,1,0
O,5,M,0,1,0
O,6,M,0,1,0
O,7,M,0,1,0
O,8,M,0,1,0
O,9,M,0,1,0
O,10,M,0,1,0
O,11,M,0,1,0
O,12,M,0,1,0
O,13,M,1,1,0